               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.027449,            0.025625,                   0,              0.8105,                0.86,             0.81683,             0.53084,            0.025199,            0.013789,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.027859,            0.023837,                   0,             0.82026,             0.82147,             0.82974,             0.49461,            0.025915,            0.014121,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.026299,             0.02273,                   0,             0.78313,                 0.9,             0.84157,             0.52248,              0.0256,            0.013273,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.02691,            0.024687,                   0,             0.80587,             0.91335,             0.87906,             0.52474,             0.02534,            0.013115,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.026035,            0.023555,                   0,             0.79054,                0.94,             0.89186,             0.53263,            0.027173,             0.01258,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.027834,            0.023384,                   0,             0.80657,                0.86,             0.89332,             0.58105,            0.025423,            0.012659,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.027075,            0.022524,                   0,             0.82025,                0.84,             0.86538,             0.55206,             0.02468,            0.012731,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.026289,            0.022319,                   0,             0.83931,             0.83576,             0.84245,             0.54599,            0.025533,            0.013384,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.026462,            0.023567,                   0,             0.85912,                0.76,             0.81993,             0.54315,            0.024099,            0.014755,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.026075,            0.023545,                   0,             0.76194,                0.86,             0.85644,              0.5309,             0.02462,            0.013719,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.026082,            0.022578,                   0,             0.82957,             0.77883,             0.84294,             0.54808,            0.023882,            0.013665,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.025523,            0.022163,                   0,             0.77159,             0.87835,             0.84553,              0.5424,            0.024798,            0.013545,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.025862,            0.022399,                   0,             0.78019,             0.85195,             0.84124,             0.55867,            0.024161,            0.013967,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.026043,            0.022081,                   0,             0.74005,                0.84,             0.81167,             0.54464,            0.023262,            0.013842,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.023539,            0.023132,                   0,             0.72065,             0.87714,             0.81597,             0.55839,            0.023682,            0.013506,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.024599,             0.02257,                   0,             0.76265,                0.82,             0.82629,             0.57394,            0.022745,            0.013253,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.024883,            0.021447,                   0,             0.70245,                0.94,             0.83365,             0.56908,            0.022394,            0.013479,                   0,            0.008218,            0.008218,            0.008218
                  56,             0.02268,             0.02291,                   0,             0.77074,             0.87415,             0.83135,             0.58391,            0.021367,            0.013809,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.023136,            0.020727,                   0,             0.74288,                 0.9,             0.84123,             0.56049,            0.023666,            0.013275,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.024057,            0.021593,                   0,             0.83336,                0.84,             0.86085,             0.56823,            0.023925,            0.012834,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.023022,            0.021778,                   0,             0.79697,                0.86,             0.85333,             0.56451,            0.024187,            0.012855,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.023852,            0.021388,                   0,             0.82379,                0.84,             0.82865,             0.53104,            0.023836,            0.012857,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.023339,            0.020949,                   0,             0.85548,             0.82885,             0.81411,             0.53447,            0.023785,            0.013982,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.023973,             0.02227,                   0,             0.86303,                0.78,             0.80394,             0.53069,            0.023292,            0.014558,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.025299,            0.021133,                   0,             0.85206,                0.78,             0.80629,              0.5647,            0.022504,            0.015006,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.022165,            0.022366,                   0,             0.77094,                0.78,             0.80265,             0.53612,            0.024107,            0.014662,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.022505,            0.020458,                   0,             0.82196,                0.82,             0.84566,             0.55414,            0.022943,            0.014736,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.023186,            0.019669,                   0,             0.80294,                0.86,             0.84851,             0.55468,            0.023271,            0.014151,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.022669,            0.023105,                   0,             0.76799,                0.86,             0.81979,             0.55142,            0.022526,            0.014473,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.022397,             0.02095,                   0,             0.74527,             0.87775,             0.78093,             0.49711,            0.026382,            0.016433,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.023809,            0.019966,                   0,             0.77727,             0.83756,             0.79824,             0.54332,            0.023593,            0.016345,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.022216,            0.020805,                   0,              0.7617,                0.82,             0.82212,             0.56281,            0.023113,            0.016014,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.021544,            0.020319,                   0,             0.80795,                0.76,             0.79037,             0.51778,            0.023969,            0.016993,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.021633,            0.020315,                   0,             0.76213,             0.83313,             0.78547,             0.51085,            0.026708,             0.01708,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.022938,            0.021293,                   0,             0.78274,                0.84,             0.81322,             0.56354,            0.023161,            0.015048,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.023029,            0.021483,                   0,              0.8141,             0.87593,             0.82176,             0.54426,            0.024918,            0.014456,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.021538,            0.022105,                   0,             0.77458,                 0.9,              0.8067,             0.52726,            0.025409,            0.014477,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.021543,            0.020021,                   0,              0.7646,                0.82,             0.77578,             0.51722,             0.02388,            0.015239,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.022303,            0.020435,                   0,             0.83601,                0.78,             0.79298,             0.53386,            0.024454,            0.014956,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.021371,            0.018594,                   0,             0.79524,                 0.8,             0.76586,             0.53232,            0.023043,            0.015936,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.021451,            0.019554,                   0,             0.78476,                 0.8,             0.76231,             0.52107,             0.02445,             0.01666,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.022744,            0.019029,                   0,             0.78958,              0.8256,             0.79767,             0.54308,            0.023875,            0.016264,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.021373,            0.020301,                   0,             0.77681,             0.83539,             0.79006,             0.53751,            0.023136,            0.016247,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.021893,            0.020655,                   0,             0.80634,                0.82,             0.80601,             0.58274,             0.02204,            0.015338,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.020849,            0.019704,                   0,             0.80991,             0.85221,             0.79666,             0.55284,            0.022861,            0.015788,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.020548,            0.019415,                   0,             0.81408,                 0.8,             0.79803,             0.55197,            0.023299,            0.015697,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.021059,            0.018915,                   0,             0.83284,              0.7972,             0.78908,             0.53715,            0.024436,            0.016309,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.020886,             0.02033,                   0,             0.78972,             0.82632,             0.79387,              0.5299,            0.025107,            0.016829,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.021557,            0.019224,                   0,             0.81402,                0.84,             0.81364,              0.5605,            0.022923,            0.015398,                   0,            0.007162,            0.007162,            0.007162
                  88,             0.01995,            0.018498,                   0,             0.79497,             0.85307,             0.80146,             0.57141,            0.023849,            0.015469,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.020124,            0.018306,                   0,             0.84202,                0.76,             0.77845,             0.52873,            0.024275,            0.017949,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.020194,            0.018014,                   0,             0.74299,             0.86736,             0.79079,             0.55198,            0.023804,            0.016543,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.021059,            0.019131,                   0,             0.84196,                0.76,             0.78809,             0.56386,            0.023334,             0.01725,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.018991,            0.017577,                   0,             0.81913,                0.74,             0.78265,             0.54228,            0.023854,            0.018159,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.019231,            0.018786,                   0,             0.77784,                 0.8,             0.79088,             0.53227,            0.024784,            0.017413,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.020961,            0.019688,                   0,              0.7967,                0.78,             0.77752,             0.52158,            0.023957,             0.01805,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.020844,            0.018849,                   0,             0.82402,                0.78,             0.77324,               0.514,            0.024326,            0.017492,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.021656,             0.01821,                   0,             0.85056,             0.79687,             0.79983,              0.5541,            0.023737,            0.017552,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.019633,            0.019216,                   0,             0.78313,                0.84,             0.82293,             0.56788,            0.022231,            0.015448,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.019846,            0.019212,                   0,             0.76775,             0.85948,             0.84889,             0.56936,            0.022922,            0.014935,                   0,            0.006799,            0.006799,            0.006799
                  99,             0.02055,            0.018179,                   0,             0.77996,                0.82,             0.84266,             0.57042,            0.022773,            0.015731,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.019558,             0.01885,                   0,             0.81526,             0.79444,             0.82773,             0.57207,             0.02291,            0.016855,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.019754,            0.018953,                   0,             0.82887,                0.78,             0.81577,             0.55642,             0.02337,            0.018108,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.020196,            0.018784,                   0,             0.81611,                 0.8,             0.80646,             0.54846,            0.023559,            0.017721,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.019532,            0.018746,                   0,             0.79584,                0.82,             0.80108,             0.57953,            0.022651,            0.017081,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.019109,            0.017998,                   0,             0.81561,             0.79628,             0.79243,             0.55794,            0.023279,            0.017465,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.019529,            0.018654,                   0,             0.81971,             0.81839,             0.82485,             0.57054,            0.023011,            0.016404,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.019379,            0.018546,                   0,             0.76199,                 0.9,             0.81772,             0.56023,            0.023099,             0.01698,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.019804,             0.01811,                   0,             0.78753,             0.88966,             0.83096,             0.57435,            0.022204,            0.016489,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.019949,            0.017377,                   0,             0.82836,                0.88,             0.81615,             0.57024,            0.022476,            0.017118,                   0,            0.006469,            0.006469,            0.006469
                 109,             0.01866,            0.017765,                   0,             0.82933,             0.87473,             0.82431,              0.5689,            0.022835,            0.017048,                   0,            0.006436,            0.006436,            0.006436
                 110,             0.02028,             0.01849,                   0,             0.79766,                0.82,             0.82809,              0.5694,            0.022632,            0.016775,                   0,            0.006403,            0.006403,            0.006403
                 111,              0.0194,            0.017967,                   0,             0.82265,             0.83503,              0.8038,             0.56178,            0.023435,             0.01622,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.020903,            0.018762,                   0,             0.83457,                0.82,             0.80036,             0.54213,            0.023709,            0.017051,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.018941,            0.018736,                   0,             0.83518,                0.82,             0.80134,             0.55845,            0.023075,            0.015634,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.019482,            0.018243,                   0,             0.85959,                 0.8,             0.82436,             0.56251,            0.023205,            0.015497,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.019229,            0.018333,                   0,             0.83667,             0.81964,             0.82819,             0.57482,            0.022524,            0.015692,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.018728,            0.018044,                   0,             0.83313,             0.79884,             0.81871,             0.57414,             0.02219,            0.016469,                   0,            0.006205,            0.006205,            0.006205
